"","geneNames"
"1","CRO_024612"
"5","CRO_006674"
"11","CRO_023927"
"12","CRO_022011"
"14","CRO_026556"
"21","CRO_033106"
"22","CRO_006776"
"25","CRO_015033"
"29","CRO_012777"
"35","CRO_021723"
"36","CRO_008636"
"41","CRO_015220"
"46","CRO_011192"
"51","CRO_014616"
"53","CRO_008821"
"54","CRO_005793"
"61","CRO_022137"
"62","CRO_014609"
"63","CRO_005272"
"68","CRO_013518"
"76","CRO_012736"
"77","CRO_033829"
"78","CRO_005949"
"79","CRO_031405"
"96","CRO_005874"
"98","CRO_001067"
"103","CRO_014611"
"105","CRO_006321"
"118","CRO_002759"
"121","CRO_015239"
"124","CRO_017948"
"129","CRO_020694"
"156","CRO_001596"
"158","CRO_003206"
"162","CRO_001564"
"164","CRO_011391"
"166","CRO_000485"
"171","CRO_027769"
"175","CRO_008907"
"177","CRO_017225"
"179","CRO_017981"
"183","CRO_029067"
"184","CRO_030732"
"187","CRO_016723"
"190","CRO_033472"
"199","CRO_029300"
"200","CRO_019341"
"207","CRO_019859"
"209","CRO_004183"
"211","CRO_032986"
"215","CRO_008535"
"216","CRO_013814"
"218","CRO_017423"
"223","CRO_017741"
"226","CRO_009489"
"228","CRO_015569"
"235","CRO_000499"
"236","CRO_022699"
"237","CRO_006181"
"240","CRO_026053"
"241","CRO_019508"
"242","CRO_024360"
"250","CRO_006566"
"252","CRO_016399"
"256","CRO_007201"
"269","CRO_003933"
"270","CRO_003918"
"279","CRO_013337"
"285","CRO_004136"
"299","CRO_014402"
"301","CRO_011698"
"303","CRO_024216"
"304","CRO_026270"
"315","CRO_032641"
"320","CRO_021652"
"323","CRO_027814"
"326","CRO_005646"
"333","CRO_028666"
"336","CRO_033394"
"337","CRO_027093"
"339","CRO_023515"
"346","CRO_023547"
"352","CRO_002602"
"357","CRO_031281"
"362","CRO_027396"
"375","CRO_000829"
"378","CRO_000732"
"391","CRO_018722"
"398","CRO_031823"
"415","CRO_021501"
"424","CRO_029810"
"428","CRO_001344"
"429","CRO_030787"
"430","CRO_007568"
"432","CRO_002830"
"440","CRO_032877"
"447","CRO_020640"
"450","CRO_027243"
"457","CRO_023569"
"458","CRO_012617"
"460","CRO_005686"
"466","CRO_005482"
"468","CRO_018079"
"470","CRO_028497"
"485","CRO_030274"
"486","CRO_005381"
"490","CRO_017161"
"494","CRO_017210"
"500","CRO_019910"
"502","CRO_023903"
"510","CRO_013611"
"514","CRO_013774"
"523","CRO_014907"
"524","CRO_027525"
"540","CRO_001667"
"552","CRO_025490"
"559","CRO_004157"
"560","CRO_031710"
"561","CRO_032979"
"573","CRO_025459"
"575","CRO_016181"
"580","CRO_001436"
"586","CRO_017148"
"589","CRO_014404"
"591","CRO_031278"
"593","CRO_024972"
"609","CRO_003065"
"613","CRO_000634"
"617","CRO_031038"
"619","CRO_004084"
"628","CRO_030771"
"629","CRO_000100"
"634","CRO_010600"
"638","CRO_018926"
"643","CRO_006174"
"657","CRO_015511"
"658","CRO_025955"
"668","CRO_032949"
"670","CRO_003568"
"676","CRO_015818"
"679","CRO_016708"
"685","CRO_027681"
"706","CRO_011861"
"721","CRO_027581"
"726","CRO_010331"
"737","CRO_008786"
"743","CRO_028687"
"752","CRO_022416"
"766","CRO_027128"
"768","CRO_023252"
"772","CRO_026337"
"778","CRO_019631"
"779","CRO_019499"
"780","CRO_024552"
"789","CRO_016570"
"795","CRO_013033"
"817","CRO_028017"
"850","CRO_011830"
"856","CRO_024445"
"858","CRO_013155"
"883","CRO_019074"
"885","CRO_020644"
"886","CRO_015827"
"891","CRO_025543"
"894","CRO_013436"
"900","CRO_006187"
"902","CRO_017488"
"908","CRO_026224"
"919","CRO_010108"
"924","CRO_019076"
"928","CRO_004992"
"939","CRO_021269"
"945","CRO_018072"
"947","CRO_030976"
"953","CRO_012109"
"962","CRO_010488"
"965","CRO_018477"
"975","CRO_002911"
"979","CRO_002907"
"980","CRO_007371"
"991","CRO_010913"
"992","CRO_000842"
"995","CRO_021076"
"1007","CRO_019576"
"1012","CRO_025029"
"1027","CRO_002819"
"1040","CRO_029842"
"1042","CRO_028549"
"1046","CRO_032137"
"1047","CRO_000431"
"1050","CRO_029597"
"1053","CRO_029225"
"1055","CRO_017493"
"1059","CRO_003666"
"1061","CRO_007651"
"1062","CRO_006660"
"1068","CRO_018519"
"1069","CRO_013040"
"1071","CRO_005409"
"1095","CRO_033255"
"1097","CRO_021768"
"1103","CRO_032950"
"1116","CRO_031389"
"1133","CRO_004636"
"1140","CRO_019304"
"1150","CRO_020539"
"1187","CRO_009139"
"1201","CRO_000088"
"1226","CRO_030619"
"1228","CRO_004906"
"1233","CRO_000729"
"1244","CRO_031775"
"1254","CRO_008172"
"1275","CRO_026146"
"1280","CRO_030151"
"1292","CRO_011407"
"1302","CRO_010653"
"1306","CRO_003251"
"1310","CRO_032698"
"1312","CRO_003371"
"1318","CRO_000344"
"1321","CRO_017285"
"1329","CRO_028263"
"1341","CRO_001676"
"1363","CRO_032858"
"1369","CRO_025506"
"1373","CRO_022277"
"1387","CRO_006185"
"1390","CRO_003060"
"1396","CRO_007453"
"1401","CRO_028974"
"1414","CRO_021239"
"1423","CRO_015825"
"1434","CRO_020882"
"1440","CRO_020359"
"1443","CRO_030988"
"1470","CRO_033743"
"1498","CRO_002245"
"1500","CRO_009957"
"1502","CRO_007542"
"1503","CRO_009634"
"1509","CRO_031351"
"1513","CRO_000388"
"1529","CRO_032424"
"1534","CRO_025507"
"1549","CRO_016546"
"1558","CRO_013871"
"1561","CRO_015034"
"1562","CRO_014354"
"1566","CRO_013452"
"1574","CRO_019914"
"1584","CRO_017939"
"1593","CRO_032816"
"1603","CRO_028015"
"1614","CRO_000181"
"1622","CRO_031128"
"1630","CRO_007185"
"1632","CRO_009931"
"1633","CRO_005937"
"1642","CRO_024331"
"1645","CRO_003500"
"1650","CRO_016762"
"1657","CRO_026128"
"1659","CRO_026896"
"1660","CRO_021645"
"1670","CRO_029853"
"1673","CRO_025801"
"1683","CRO_015723"
"1687","CRO_024922"
"1689","CRO_001928"
"1707","CRO_030840"
"1717","CRO_002567"
"1723","CRO_025826"
"1726","CRO_006769"
"1730","CRO_012620"
"1731","CRO_031487"
"1744","CRO_000520"
"1745","CRO_024755"
"1755","CRO_019212"
"1756","CRO_001999"
"1772","CRO_004659"
"1782","CRO_030413"
"1807","CRO_011061"
"1811","CRO_012672"
"1815","CRO_020526"
"1823","CRO_017049"
"1830","CRO_008534"
"1855","CRO_010841"
"1877","CRO_007996"
"1879","CRO_009808"
"1885","CRO_013259"
"1889","CRO_012061"
"1903","CRO_025122"
"1907","CRO_016488"
"1912","CRO_000341"
"1923","CRO_030110"
"1927","CRO_014365"
"1936","CRO_030645"
"1939","CRO_022965"
"1947","CRO_001134"
"1948","CRO_024619"
"1952","CRO_033118"
"1969","CRO_007603"
"2001","CRO_025140"
"2024","CRO_031890"
"2031","CRO_008521"
"2035","CRO_021502"
"2050","CRO_006023"
"2063","CRO_030221"
"2099","CRO_032037"
"2109","CRO_023459"
"2120","CRO_028400"
"2135","CRO_006920"
"2162","CRO_007441"
"2170","CRO_032961"
"2193","CRO_011602"
"2195","CRO_026905"
"2207","CRO_002140"
"2220","CRO_021406"
"2231","CRO_014507"
"2235","CRO_026647"
"2240","CRO_023802"
"2241","CRO_008661"
"2247","CRO_014957"
"2248","CRO_024880"
"2259","CRO_013686"
"2293","CRO_007976"
"2298","CRO_008728"
"2305","CRO_014520"
"2306","CRO_009440"
"2335","CRO_005525"
"2345","CRO_012265"
"2362","CRO_030408"
"2369","CRO_004490"
"2372","CRO_005699"
"2377","CRO_028778"
"2386","CRO_011923"
"2389","CRO_013335"
"2392","CRO_014980"
"2400","CRO_007175"
"2405","CRO_025501"
"2419","CRO_024380"
"2421","CRO_007338"
"2433","CRO_011303"
"2441","CRO_007788"
"2448","CRO_006740"
"2471","CRO_015886"
"2518","CRO_002218"
"2531","CRO_014803"
"2547","CRO_011271"
"2550","CRO_013902"
"2556","CRO_020853"
"2562","CRO_005551"
"2574","CRO_026394"
"2601","CRO_017361"
"2611","CRO_020750"
"2625","CRO_012156"
"2631","CRO_003643"
"2636","CRO_025928"
"2648","CRO_023770"
"2678","CRO_010320"
"2683","CRO_018541"
"2686","CRO_032315"
